Date,Open,High,Low,Close,Volume
3/29/2016 16:00:00,580.15,595.85,576.5,593.86,4392567
3/30/2016 16:00:00,596.71,603.24,595,598.69,3890461
3/31/2016 16:00:00,599.28,600.75,592.21,593.64,2681811
4/1/2016 16:00:00,590.49,599.03,588.3,598.5,2917386
4/4/2016 16:00:00,599,599.5,590.55,593.19,2470825
4/5/2016 16:00:00,590.77,593.47,585.25,586.14,2308884
4/6/2016 16:00:00,587.52,602.39,587.5,602.08,2849909
4/7/2016 16:00:00,598.76,599.6,589.08,591.43,3189037
4/8/2016 16:00:00,594.32,597.86,589,594.6,2591936
4/11/2016 16:00:00,596.14,604,594.91,595.93,2704267
4/12/2016 16:00:00,598.4,604.06,592.31,603.17,2641062
4/13/2016 16:00:00,607.68,616.81,605.29,614.82,4228349
4/14/2016 16:00:00,615.07,624.38,615.07,620.75,3512136
4/15/2016 16:00:00,621.92,626.77,618.11,625.89,2887681
4/18/2016 16:00:00,625.35,637.64,624.96,635.35,4360883
4/19/2016 16:00:00,637.14,638.01,620.8,627.9,4055870
4/20/2016 16:00:00,630,636.55,623,632.99,2609425
4/21/2016 16:00:00,631,637.82,628.5,631,2596298
4/22/2016 16:00:00,624.47,628.25,611.56,620.5,5083904
4/25/2016 16:00:00,616.61,626.98,616.25,626.2,2682924
4/26/2016 16:00:00,626.17,626.75,614.88,616.88,2521433
4/27/2016 16:00:00,611.8,615.95,601.28,606.57,4068767
4/28/2016 16:00:00,615.54,626.8,599.2,602,7872605
4/29/2016 16:00:00,666,669.98,654,659.59,10310739
5/2/2016 16:00:00,663.92,685.5,662.03,683.85,6578517
5/3/2016 16:00:00,677.36,680.3,670.43,671.32,4923351
5/4/2016 16:00:00,662.59,674,662.14,670.9,4635462
5/5/2016 16:00:00,673.31,676.49,656,659.09,4884114
5/6/2016 16:00:00,656.05,676.95,656.01,673.95,4365345
5/9/2016 16:00:00,673.95,686.98,671.41,679.75,3982161
5/10/2016 16:00:00,694,704.55,693.5,703.07,6105570
5/11/2016 16:00:00,705.79,719,701.65,713.23,7338196
5/12/2016 16:00:00,717.38,722.45,711.51,717.93,5048150
5/13/2016 16:00:00,714.64,719.25,706.51,709.92,4763419
5/16/2016 16:00:00,710.13,713.25,700.28,710.66,5432920
5/17/2016 16:00:00,709.9,714.47,693.91,695.27,5121357
5/18/2016 16:00:00,689.56,702.54,688.76,697.45,4283189
5/19/2016 16:00:00,691.88,699.4,689.56,698.52,3025566
5/20/2016 16:00:00,701.05,707.24,700,702.8,2916165
5/23/2016 16:00:00,704.25,706,696.42,696.75,2595082
5/24/2016 16:00:00,698.01,707.5,698,704.2,3033782
5/25/2016 16:00:00,708,710.86,705.52,708.35,3276631
5/26/2016 16:00:00,708.33,715,707.29,714.91,2446681
5/27/2016 16:00:00,715,716.6,711.1,712.24,2249164
5/31/2016 16:00:00,712.33,724.23,711.32,722.79,3618323
6/1/2016 16:00:00,720.9,726.43,718.22,719.44,3263107
6/2/2016 16:00:00,720.97,728.28,715.5,728.24,3026583
6/3/2016 16:00:00,726.74,727,718.43,725.54,3367306
